N	O	Ar	He	H	C	totall
0.755349173	0.231590206	0.012884329	7.24258E-07	0	0.000175569	1.167407023
0.755348236	0.231591157	0.012884313	7.24257E-07	0	0.000175569	1.058240693
0.755347573	0.231591832	0.012884302	7.24257E-07	0	0.00017557	0.957090178
0.755347466	0.231591941	0.0128843	7.24256E-07	0	0.00017557	0.863539018
0.755346692	0.231592727	0.012884287	7.24256E-07	0	0.00017557	0.777173966
0.755347721	0.231591681	0.012884304	7.24257E-07	0	0.00017557	0.697606609
0.75534511	0.231594335	0.01288426	7.24254E-07	0	0.000175572	0.624442816
0.75535043	0.231588927	0.01288435	7.24259E-07	0	0.000175568	0.557324729
0.755334986	0.231604624	0.012884087	7.24244E-07	0	0.00017558	0.495898659
0.755399134	0.231539431	0.012885181	7.24306E-07	0	0.00017553	0.439757332
0.755122151	0.231820925	0.012880456	7.2404E-07	0	0.000175743	0.388809624
0.755059305	0.231884795	0.012879384	7.2398E-07	0	0.000175792	0.33783968
0.755440066	0.231497831	0.012885879	7.24345E-07	0	0.000175499	0.288583084
0.755313364	0.231626597	0.012883718	7.24224E-07	0	0.000175596	0.246683955
0.755352829	0.23158649	0.012884391	7.24262E-07	0	0.000175566	0.210830888
0.755339428	0.231600109	0.012884163	7.24249E-07	0	0.000175576	0.180209861
0.75534572	0.231593715	0.01288427	7.24255E-07	0	0.000175571	0.154042165
0.7553414	0.231598105	0.012884196	7.24251E-07	0	0.000175575	0.131680294
0.755350977	0.231588372	0.01288436	7.2426E-07	0	0.000175567	0.112569008
0.755312098	0.231627884	0.012883696	7.24223E-07	0	0.000175597	0.096242057
0.755315018	0.231624916	0.012883746	7.24225E-07	0	0.000175595	0.082129761
0.75535625	0.231583013	0.01288445	7.24265E-07	0	0.000175563	0.069944712
0.755338512	0.23160104	0.012884147	7.24248E-07	0	0.000175577	0.059617051
0.755344848	0.231594601	0.012884255	7.24254E-07	0	0.000175572	0.050852729
0.75534316	0.231596316	0.012884226	7.24252E-07	0	0.000175573	0.043410206
0.75534314	0.231596337	0.012884226	7.24252E-07	0	0.000175573	0.037084862
0.755343447	0.231596025	0.012884231	7.24253E-07	0	0.000175573	0.031705157
0.755343415	0.231596057	0.012884231	7.24253E-07	0	0.000175573	0.027125998
0.755344316	0.231595141	0.012884246	7.24253E-07	0	0.000175572	0.023225317
0.755341326	0.23159818	0.012884195	7.24251E-07	0	0.000175575	0.01990017
0.755354021	0.231585278	0.012884412	7.24263E-07	0	0.000175565	0.017063014
0.755296714	0.231643519	0.012883434	7.24208E-07	0	0.000175609	0.014642304
0.755352114	0.231587217	0.012884379	7.24261E-07	0	0.000175566	0.012540364
0.755355642	0.231583631	0.012884439	7.24264E-07	0	0.000175564	0.010704408
0.755340785	0.23159873	0.012884186	7.2425E-07	0	0.000175575	0.009153899
0.755343905	0.231595559	0.012884239	7.24253E-07	0	0.000175573	0.007842552
0.755341651	0.23159785	0.012884201	7.24251E-07	0	0.000175574	0.006731474
0.755344259	0.2315952	0.012884245	7.24253E-07	0	0.000175572	0.005788253
0.755344325	0.231595132	0.012884246	7.24253E-07	0	0.000175572	0.004985892
